Key	it-IT	en
VariabiliEFunzioni-translate_ingredient-55f442d3	uova	
VariabiliEFunzioni-translate_ingredient-917c2e95	pentola	
VariabiliEFunzioni-translate_ingredient-f9c64334	noce moscata	
VariabiliEFunzioni-translate_ingredient-228dd4ca	farina	
VariabiliEFunzioni-translate_ingredient-22942b7c	saltare	
VariabiliEFunzioni-translate_ingredient-45e683c4	sciogliere	
VariabiliEFunzioni-translate_ingredient-b8dd15d1	lievitare	
VariabiliEFunzioni-translate_ingredient-d9749b19	sale	
VariabiliEFunzioni-translate_ingredient-26cfe7dd	cipolla	
VariabiliEFunzioni-translate_ingredient-ad73ed2a	affettare	
VariabiliEFunzioni-translate_ingredient-531c9346	tonno in scatola	
VariabiliEFunzioni-translate_ingredient-f1d4f253	mescolare	
VariabiliEFunzioni-translate_ingredient-6ecc4fe9	burro	
VariabiliEFunzioni-translate_ingredient-697b1206	montare	
VariabiliEFunzioni-translate_ingredient-c0ae82c7	zafferano	
VariabiliEFunzioni-translate_ingredient-c96e431a	mantecare	
VariabiliEFunzioni-translate_ingredient-8b26ae4f	braciola	
VariabiliEFunzioni-translate_ingredient-f634c118	arrosticino	
VariabiliEFunzioni-translate_ingredient-0a9be3f2	costina	
VariabiliEFunzioni-translate_ingredient-277a41a6	osso	
VariabiliEFunzioni-translate_ingredient-5df61072	grigliare	
VariabiliEFunzioni-translate_ingredient-75b36cec	crocchette	
VariabiliEFunzioni-translate_ingredient-c3398dff	versare	
VariabiliEFunzioni-translate_ingredient-8501e70e	riempire	
VariabiliEFunzioni-translate_ingredient-0cd625ea	formaggio	
VariabiliEFunzioni-translate_ingredient-2a15b2ae	fondere	
VariabiliEFunzioni-translate_ingredient-65ea772d	coccole	
VariabiliEFunzioni-translate_ingredient-a039f6f4	brandina	
VariabiliEFunzioni-translate_ingredient-c7861355	cuccia	
VariabiliEFunzioni-translate_ingredient-9e04e7e5	sgranocchiare	
VariabiliEFunzioni-translate_ingredient-3083e32c	fidarsi	
VariabiliEFunzioni-translate_ingredient-eb989ec4	il barattolo dello Yogurt	
VariabiliEFunzioni-translate_ingredient-21f0c046	pettorina	
VariabiliEFunzioni-translate_ingredient-c3e91b50	trasportino	
VariabiliEFunzioni-translate_ingredient-59e80c97	veterinario	
VariabiliEFunzioni-translate_ingredient-f1b0d53e	automobile	
VariabiliEFunzioni-translate_ingredient-1412928d	viaggiare	
VariabiliEFunzioni-translate_ingredient-4c1b3819	inconscio	
VariabiliEFunzioni-translate_ingredient-d7ca355d	correre nei sogni	
VariabiliEFunzioni-translate_ingredient-04b119e5	coccolare	
VariabiliEFunzioni-translate_ingredient-00615d1e	carezzare	
VariabiliEFunzioni-translate_ingredient-bbdc09d0	pettare	
VariabiliEFunzioni-translate_ingredient-9b22fbdb	grattare	
VariabiliEFunzioni-translate_ingredient-6317e1d0	dormire assieme	
VariabiliEFunzioni-translate_ingredient-37500a3d	protezione	
VariabiliEFunzioni-translate_ingredient-5d31aff2	niente gatti!	
VariabiliEFunzioni-translate_ingredient-ff23828f	vol-au-vent	
